ID,Credit_Card_Name,Image,Image_File,Issuer,Category,Annual_Fee,Annual_Fee_Detail,Additional_Card_Fee,Additional_Card_Detail,Purchase_Interest_Rate,Cash_Advance_Interest_Rate,Rewards_Program,Welcome_Bonus,Welcome_Bonus_Detailed,Welcome_Bonus_Value,Welcome_Bonus_Eligbility,Features,Features_Detailed,Card_Eligibility,Insurance,Product_Link
47,Scotiabank Value Visa Card (for students),,Scotiabank Value Visa Card (for students).png,Scotiabank,Student,$29,First-year fee is waived with special offer,$0,$0 / year,13.99%,13.99%,N/A,"Get a 0.99% promotional interest rate on balance transfers for your first 9 months with a 2% balance transfer fee. Plus, pay no annual fee during your first year.",0.99% promotional interest rate on balance transfers for the first 9 months with a 2% balance transfer fee.,N/A,N/A,Save up to hundreds on interest every year,"Low Interest Rate: 13.99% APR on purchases, cash advances, and balance transfers.","Canadian citizen or permanent resident. Must have reached the age of majority in your province or territory. Generally requires a steady income to qualify, often recommended to have at least $12,000/year, though student accounts may have flexibility. Primarily designed for students looking to build credit.",,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/student-value-card.html
48,Scotia Momentum Visa Card (for students),,Scotia Momentum Visa Card (for students).png,Scotiabank,Student,$39,$49 / year,$15,$15 / year,19.99%,22.99%,Cash Back,Earn 5% cash back on all purchases for the first 3 months,N/A,"up to $2,000 in total purchases",,Earn up to 2% cash back on select purchases,"Earn up to 2% Cash Back on your eligible everyday purchases when you shop with your card.
2%
On groceries, food delivery and food subscription services, and drugstore purchases
2%
On gas, electric vehicle charging, and daily transit like buses, taxis, and rideshares
2%
On eligible recurring bill payments like utilities and gym memberships
2%
On eligible recurring subscription services like music and video streaming
1%
On all other eligible purchases",,,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/student-momentum-cash-back-card.html
49,Scotia Momentum No-Fee Visa Card (for students),,Scotia Momentum No-Fee Visa Card (for students).png,Scotiabank,Student,$0,No Annual Fee,$0,$0 / year,19.99%,22.99%,Cash back,"Get 5% cash back on up to $2,000 in purchases in the first 3 months.","For your first three months, you'll get 5% Cash Back on up to $2,000 in eligible purchases.",$100 in cash back,"Individuals who are currently or were previously primary or secondary cardholders of a Scotiabank personal credit card in the past 2 years, including those that switched to an existing Scotiabank personal credit card are not eligible for the Offer",Earn up to 1% cash back on select purchases,"You will earn 1% Cash Back on eligible Purchases on your Account at Grocery, Gas Stations, Electric Vehicle Charging (EV), Transit, Rideshare, Food Delivery, Drugstores and Pharmacies, and on Recurring Bill Payments, up to an annual spend limit of $15,000. 0.5% Cash Back on all other eligible purchases",Minimum income $12K/yr,,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/student-scotia-momentum-no-fee-visa.html
50,Scotiabank American Express Card (for students),,Scotiabank American Express Card (for students).png,Scotiabank,Student,$0,No Annual Fee,$0/year,$0 for primary and additional cards.,19.99%,22.99%,Scene+ Points,"Earn up to 5,000 bonus Scene+ points","Earn 2,500 bonus Scene+ points by making at least $250 in everyday eligible purchases in your first 3 months.
You are eligible to earn an additional 2,500 Scene+ point bonus when you spend at least $1,000 in everyday eligible purchases in your first 3 months.",up to $50,"Individuals who are currently or were previously primary or secondary cardholders of a Scotiabank personal credit card in the past 2 years, including those that switch from an existing Scotiabank personal credit card, as well as employees of Scotiabank, are not eligible for this offer.","Earn 3 Scene+ points on every $1 you spend at Sobeys, Safeway, FreshCo, Foodland and more. Earn 2 Scene+ points for every $1 you spend on restaurants, fast food, drinking establishments, and other eligible grocery stores. Includes popular food delivery and food subscriptions. Earn 2 Scene+ points for every $1 you spend on eligible entertainment purchases. Includes movies, theatre, and ticket agencies. Earn 2 Scene+ points for every $1 you spend on eligible gas and daily transit. Includes rideshare, buses, taxis, subway, and more. Earn 2 Scene+ points for every $1 you spend on eligible select streaming services. Plus earn 1 Scene+ point for every $1 spent on all other eligible everyday purchases.","You are awarded three (3) Scene+ Points for every eligible $1.00 purchase made at Sobeys, IGA, Safeway, Foodland, FreshCo, Voila by Sobeys, Voila by IGA, Voila by Safeway, Chalo! FreshCo, Thrifty Foods, IGA West, Les Marches Tradition, Rachelle Bery, and Co-Op locations charged and posted to the Scotiabank American Express Account.
Additionally, you are awarded two (2) Scene+ Points for every eligible $1.00 purchase all other grocery (not listed above), dining, entertainment, gas, daily transit and select streaming services charged and posted to the Scotiabank American Express Account
You are awarded one (1) Scene+ Point for every $1.00 in all other purchases of goods and services charged to the Scotiabank American Express Account",Must be a student enrolled in a Canadian post-secondary institution.,,https://www.scotiabank.com/ca/en/personal/credit-cards/american-express/student-scotiabank-american-express-card.html
51,BMO Eclipse Rise Visa Card,,BMO Eclipse Rise Visa Card.png,BMO,Rewards,$0,No Annual Fee,,,21.99%,23.99%,BMO Rewards Points,"25,000 bonus points","Get 20,000 points and a 0.99% introductory interest rate on Balance Transfers for 9 months with a 2% transfer fee. Plus, earn up to 5,000 bonus points every year!","up to 25,000 bonus points",,"5x the BMO Rewards points for every $2 spent on recurring bill payments, groceries, dining and takeout. Plus, earn 1 point for every $2 spent on everything else.","Get 5x Five times the points for every $2 spent on recurring bill payments. Get 5x Five times the points for every $2 spent on groceries. Earn 5x Five times the points for every $2 spent on dining out at your favourite restaurant. Get 5x Five times the points for every $2 spent on takeout & food delivery. Plus, earn 1 point for every $2 spent on everything else.","Be a Canadian citizen or permanent resident. Have not declared bankruptcy in the past seven years. Have reached the age of majority in the province in which you live (18 years in AB Alberta , MB Manitoba , ON Ontario , PE Prince Edward Island , QC Quebec and SK Saskatchewan . 19 years in all other provinces)",,https://www.bmo.com/en-ca/main/personal/credit-cards/bmo-eclipse-rise-visa/
52,BMO Eclipse Visa Infinite Card,,BMO Eclipse Visa Infinite Card.png,BMO,Rewards,$120,$120 annual fee waived in the first year,$50 additional card annual fee (per additional card),,21.99%,23.99%,BMO Rewards Points,"Get up to $1,150 in value including up to 70,000 Bonus points","Get up to $1,150 in value This includes: Up to 70,000 bonus points, $20 monthly streaming subscription credits in your first year, No annual fee in your first year, $50 Anniversary Lifestyle Credit","up to $1,150","New Get up to $1,150 in value including up to 70,000 Bonus points , monthly streaming statement credit, $50 anniversary lifestyle credit, and no annual fee in your first year.","Get 5 points for every $1 you spend on everyday essentials like groceries, gas, and transit. $50 annual lifestyle credit. Earn 10% more points On all purchases when you add an authorized user to your account.","Get 5 points for every $1 you spend on everyday essentials like groceries, gas, and transit. Get a $50 statement credit every year to use however you want. Earn 10% more points On all purchases when you add an authorized user to your account.","Be a permanent Canadian resident, Have not declared bankruptcy in the past seven years, Have reached the age of majority in the province in which you live (18 years in AB, MB, ON, PE, QC and SK. 19 years in all other provinces), Meet minimum income requirements",,https://www.bmo.com/main/personal/credit-cards/bmo-eclipse-visa-infinite/
53,BMO Ascend World Elite Mastercard,,BMO Ascend World Elite Mastercard.png,BMO,Rewards,$150,The annual fee is waived in the first year- a savings of $150.,$50,per additional card,21.99%,23.99%,BMO Rewards Points,"Up to 100,000 BMO Rewards Welcome Bonus Points","Up to 100,000 BMO Rewards Welcome Bonus Points","up to $1,600 in value",,"5x the points For every $1 spent on eligible travel purchases. 3x the points For every $1 spent on eligible entertainment purchases. 3x the points For every $1 spent on eligible dining purchases. 3x the points For every $1 spent on recurring bill payments. Plus, 1x the point for every $1 spent everywhere else.",Earn 5x BMO Rewards on travel purchases,"Minimum $80,000 (individual) or $150,000 (household) annual income required.",,https://www.bmo.com/main/personal/credit-cards/bmo-ascend-world-elite-mastercard/
54,BMO Eclipse Visa Infinite Privilege Card,,BMO Eclipse Visa Infinite Privilege Card.png,BMO,Rewards,$599,$599 Annual fee,$99 annually for each additional authorized user,,21.99%,23.99%,BMO Rewards Points,"Get up to $2,300","Get up to $2,300 in value. This includes: Up to 200,000 BMO Rewards Welcome Bonus Points, Up to $200 NEXUS Statement Credit in your first year, $200 Anniversary Lifestyle Credit, Visa Airport Companion Program membership and 6 Complimentary Lounge Passes","$2,300",Current or former Cardmembers with this Card are not eligible for this offer,"5x the points For every $1 spent on groceries, dining in and out, drugstore purchases, gas, and travel. Plus, earn 1 point for every $1 spent on everything else","5x the points For every $1 spent on groceries, dining in and out, drugstore purchases, gas, and travel.","Minimum $150,000 (individual) or $200,000 (household) annual income required.",,https://www.bmo.com/main/personal/credit-cards/bmo-eclipse-visa-infinite-privilege/
55,BMO CashBack Mastercard,,BMO CashBack Mastercard.png,BMO,Cash Back,$0,No Annual Fee,Add Another Cardholder For Free,"Earn even more cash back when you add another cardholder, free of charge.",21.99%,23.99%,Cash Back,Get up to 5% cash back in your first 3 months,"Get up to $650 in value and the annual fees waived in the first year. Plus, get a 0% introductory interest rate on Balance transfers for 12 months with a 2% transfer fee.",up to $175,,3% cash back On grocery purchases. 1% cash back On recurring bill payments. 0.5% cash back On all other purchases,"3% cash back On grocery purchases, so you can earn more on your favourite foods and the essentials. 1% cash back On recurring bill payments such as streaming services, subscriptions or monthly utilities. 0.5% cash back On all other purchases, so you earn every time you spend.","Be a Canadian citizen or permanent resident. Have not declared bankruptcy in the past seven years. Have reached the age of majority in the province in which you live (18 years in AB, MB, ON, PE, QC and SK. 19 years in all other provinces). Meet minimum income requirements",,https://www.bmo.com/main/personal/credit-cards/bmo-cashback-mastercard/
56,BMO Preferred Rate Mastercard,,BMO Preferred Rate Mastercard.png,BMO,Low Interest,$29,Get the $29 annual fee rebated every year when you also have a BMO Performance chequing account.,$0,"Add another cardholder, free of charge.",13.99%,15.99%,N/A,Get a 0% introductory interest rate on Balance Transfers for 9 months with a 0.99% transfer fee and we'll waive the $29 annual fee for the first year.,Get a 0% introductory interest rate on Balance Transfers for 9 months with a 0.99% transfer fee and we'll waive the $29 annual,"up to $2,400 in value",,N/A,N/A,Be a Canadian citizen or permanent resident. Have not declared bankruptcy in the past seven years. Have reached the age of majority in the province in which you live,,https://www.bmo.com/main/personal/credit-cards/preferred-rate-mastercard/
57,BMO AIR MILES Mastercard,,BMO AIR MILES Mastercard.png,BMO,Travel,$0,No Annual Fee,$0,$0,21.99%,23.99%,Air Miles,"Win 1,000,000 Blue Points!","Sign up and be the first to hear about the BMO Blue Rewards credit card roll out and you'll automatically be entered for a chance to win, along with many other exciting prizes.","Up to 2,300 Air Miles (approx. $242 in value)","Existing BMO AIR MILES credit card holders (including BMO AIR MILES World Elite Mastercard, BMO AIR MILES World Mastercard, BMO AIR MILES Mastercard, BMO AIR MILES No-Fee Business Mastercard, BMO AIR MILES Business Mastercard and BMO AIR MILES World Elite Business Mastercard) are not eligible to enter the contest.","Enjoy Canada's only retail credit cards with built-in accelerators on gas, EV charging, groceries, and wholesale purchases.","Enjoy Canada's only retail credit cards with built-in accelerators on gas, EV charging, groceries, and wholesale purchases.","You must be a permanent Canadian resident. Must have reached the age of majority in your province or territory. A ""good"" to ""excellent"" credit score (typically 660-740+) is recommended.",,https://www.bmo.com/main/personal/credit-cards/bmo-airmiles-mastercard/
58,BMO CashBack World Elite Mastercard,,BMO CashBack World Elite Mastercard.png,BMO,Cash Back,$120,$120 annual fee,$50 additional card annual fee,per additional card,21.99%,23.99%,CashBack,Get up to $650 in value,"This includes:
$40 in cash back each month when you spend a minimum of $2,000 in your first year
$120 annual fee rebate in your first year
$69 Roadside Assistance",up to $650,Get up to $650 in value and the annual fees waived in the first year,"5% on groceries
4% on transit
3% on gas
2% on recurring bills
Plus, get 1% cash back on all other purchases","5% on groceries - the highest cash back earn rate on groceries in Canada.
4% on transit
Including ride sharing, taxis, and public transportation.
3% on gas
And electric vehicle charging.
2% on recurring bills
Like your phone bill, gym membership, and favourite streaming services.
Plus, get 1% cash back on all other purchases","Be a Canadian citizen or permanent resident
Have not declared bankruptcy in the past seven years
Have reached the age of majority in the province in which you live (18 years in AB, MB, ON, PE, QC and SK. 19 years in all other provinces)
Meet minimum income requirements: $80,000 (individual) or $150,000 (household)",,https://www.bmo.com/main/personal/credit-cards/bmo-cashback-world-elite-mastercard/
59,BMO AIR MILES World Elite Mastercard,,BMO AIR MILES World Elite Mastercard.png,BMO,Travel,$120,$120 annual fee,,,21.99%,23.99%,Air Miles,"Get up to 7,000 AIR MILES Bonus Miles",,,"Existing BMO AIR MILES credit card holders (including BMO AIR MILES World Elite Mastercard, BMO AIR MILES World Mastercard, BMO AIR MILES Mastercard, BMO AIR MILES No-Fee Business Mastercard, BMO AIR MILES Business Mastercard and BMO AIR MILES World Elite Business Mastercard) are not eligible to enter the contest.","Enjoy Canada's only retail credit cards with built-in accelerators on gas, EV charging, groceries, and wholesale purchases.","The BMO AIR MILES World Elite Mastercard earns 3x AIR MILES per $12 spent at all AIR MILES partners, plus 2x AIR MILES per $12 spent at grocery stores.",Open to legal residents of Canada who have reached the age of majority in their province or territory of residence.,,https://www.bmo.com/main/personal/credit-cards/bmo-air-miles-world-elite-mastercard/
60,BMO U.S. Dollar Mastercard,,BMO U.S. Dollar Mastercard.png,BMO,US,$49 USD,"When your purchases total U.S. $3,000 or more in a year, next year's annual fee is rebated to your card.",$0,"Add another cardholder, free of charge.",21.99%,23.99%,N/A,"The card does not typically offer a high-point sign-up bonus, but it often features a fee rebate offer.",,N/A,Must be a Canadian resident. Requires a U.S. dollar bank account to pay the statement balance in USD. A decent credit score is generally required for approval.,"No Foreign Exchange Fees: Transactions in the U.S. or with U.S. merchants are processed in USD, avoiding the 2.5% currency conversion fee. Rewards: The card does not offer points or cash back rewards.","Annual Fee: $49 USD (waived if $3,000 USD is spent annually). Security: Built-in chip technology, Mastercard PayPass (tap & go), and Zero Liability protection. Insurance: Includes Purchase Protection (90 days) and Extended Warranty (doubles manufacturer's warranty for up to 1 year). Roadside Assistance: Access to Master RoadAssist services. Acceptance: Worldwide acceptance (30 million+ locations).",Be a Canadian citizen or permanent resident. Have not declared bankruptcy in the past seven years. Have reached the age of majority in the province in which you live,,https://www.bmo.com/main/personal/credit-cards/us-dollar-mastercard/
61,Student BMO CashBack Mastercard,,Student BMO CashBack Mastercard.png,BMO,Student,$0,No Annual Fee,Add another cardholder For Free,"Add another cardholder, free of charge.",21.99%,23.99%,CashBack,Get 5% cash back in your first 3 months!,Get 5% cash back in your first 3 months,,,"3% cash back on groceries, 1% cash back on recurring payments, 0.5% cash back on every day essentials","On grocery purchases, so you can earn more whether you're stocking your kitchen or mini-fridge.On recurring bill payments such as mobile phones, streaming services, or subscriptions.On all other purchases, so every time you spend, you earn.","Be a student between the ages of 18 and 24 at a recognized post-secondary school. Be a Canadian citizen or permanent resident. Have reached the age of majority in the province in which you live (18 years in AB, MB, ON, PE, QC and SK. 19 years in all other provinces). Earn annual income from employment, scholarship/grant, student loan or family allowance.",,https://www.bmo.com/main/personal/credit-cards/student-bmo-cashback-mastercard/
62,Student BMO AIR MILES Mastercard,,Student BMO AIR MILES Mastercard.png,BMO,Student,$0,No Annual Fee,Generally no fee for student cards.,"Additional cards can be added, allowing for faster accumulation of AIR MILES for the primary account.",21.99%,23.99%,Air Miles,Get 5% cash back in your first 3 months!,Get 800 AIR MILES Bonus Miles.,800 Miles is equivalent to $80 towards purchases with AIR MILES Cash.,"New accounts, typically requiring a minimum spend within the first 3 months.",Earn 3x the Miles for every $25 spent at participating AIR MILES partners. Earn 2x the Miles for every $25 spent at eligible grocery stores. Earn 1 Mile for every $25 spent everywhere else. Includes Extended Warranty and Purchase Protection. Provides a discount on car rentals at participating locations.,,Must be a student between the ages of 18 and 24 at a recognized post-secondary school. Must be a Canadian citizen or permanent resident. Must have reached the age of majority in the province of residence. No minimum income requirement specifically for the student version.,,https://www.bmo.com/main/personal/credit-cards/student-no-fee-airmiles/
63,CIBC Aventura Visa Infinite Card,,CIBC Aventura Visa Infinite Card.png,CIBC,Rewards,$139,$139 - first year rebated,$50,$50 each for up to 3 additional cards,20.99%,22.99%,Aventura Points,"Earn up to $1,800 in value","Get a total of up to 60
,000
Aventura Points (up to
$1,200
in travel value

) during your first year:
15,000 Aventura Points when you make your first purchase

30,000 Aventura Points when you spend $3,000 or more in net purchases in the first 4 monthly statement periods.

15,000 Aventura Points if you have at least $5,000 in net purchases posted to your account in the first 4 monthly statement periods

Get a one-time annual fee rebate
($139)
for you (the primary cardholder) and up to three authorized users
($50
each): up to $189 value

Elevate your airport experience with 4 complimentary visits at
1,200+
lounges globally through Visa Airport Companion Program: up to $277 value
2
Plus, get a NEXUS
TM
Application Fee rebate: a $160 value","$1,800","CIBC may approve your application, but you are not eligible to receive this Offer if you have opened, transferred or cancelled another Aventura card within the last 12 months.","2 points for every $1 spent on eligible travel purchased through the CIBC Rewards Centre
Opens in a new window.
6
(CIBC by Expedia
7
)
1.5 points for every $1 spent at eligible gas stations, electric vehicle charging stations, grocery stores and drug stores
8
1 point for every $1 spent on all other purchases","2 points for every $1 spent on eligible travel purchased through the CIBC Rewards Centre
Opens in a new window.
6
(CIBC by Expedia
7
)
CIBC Rewards Centre
1.5 points for every $1 spent at eligible gas stations, electric vehicle charging stations, grocery stores and drug stores
8
Accelerate your savings with
up to 10 cents off per litre on eligible gas
Opens in a new window.
.
Gas
Electric Vehicle Charging
Groceries
Drug Stores
1 point for every $1 spent on all other purchases","$60,000 individual, or $100,000 household minimum annual income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-infinite-card.html
64,CIBC Aeroplan Visa Infinite Card,,CIBC Aeroplan Visa Infinite Card.png,CIBC,Travel,$139,$139,$50,$50 each for up to 3 additional cards,20.99%,22.99%,Aeroplan Points,"Earn up to $1,200 in value, which includes up to 45,000 Aeroplan points","Earn up to 45,000 Aeroplan points (up to $900 in travel value

):
10,000 Aeroplan points when you make your first purchase

.
10,000 Aeroplan points when you spend $6,000 or more during the first 6 monthly statements periods

.
25,000 Aeroplan points as an additional anniversary bonus when you have at least $12,000 in net purchases posted on your account during the first 12 monthly statement periods","$1,200",Individuals who have received a welcome bonus on this card within the last 12 months or are switching from another CIBC card may not be eligible.,"1.5 point for every $1 you spend on eligible gas, electric vehicle charging, groceries and with Air Canada directly, including through Air Canada Vacations.
5
1 point for every $1 you spend on all other purchases.","1.5 point for every $1 you spend on eligible gas, electric vehicle charging, groceries and with Air Canada directly, including through Air Canada Vacations.
5
1 point for every $1 you spend on all other purchases.","$60,000 individual, or $100,000 household minimum annual income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-infinite-card.html
65,CIBC Aventura Visa Infinite Privilege Card,,CIBC Aventura Visa Infinite Privilege Card.png,CIBC,Rewards,$499,$99 each for up to 9 additional cards,$99,$99 each for up to 9 additional cards,20.99%,22.99%,Aventura Points,"Join and earn up to $2,450 in value.","Get a total of up to 80,000 Aventura Points

(up to $1,600 in travel value
1
) during your first year:
25,000 Aventura Points when you spend $3,000 or more in the first 4 monthly statement periods

25,000 Aventura Points when you spend $6,000 or more in the first 4 monthly statement periods.

30,000 Aventura Points as an additional anniversary bonus when you have at least $25,000 in net eligible purchases posted on your account during the first 12 monthly statement periods","up to $1,600","CIBC may approve your application, but you are not eligible to receive this Offer if you have opened, transferred or cancelled another Aventura card within the last 12 months.","3 points for every $1 spent on eligible travel purchased through the CIBC Rewards Centre
2 points for every $1 spent on eligible dining, entertainment, transportation, gas, electric vehicle charging, and groceries
1.25 points for every $1 spent on all other purchases","3 points for every $1 spent on eligible travel purchased through the CIBC Rewards Centre (CIBC by Expedia
9
)
2 points for every $1 spent on eligible dining, entertainment, transportation, gas, electric vehicle charging, and groceries
1.25 points for every $1 spent on all other purchases","$150,000 individual, or $200,000 household minimum annual income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-infinite-privilege-card.html
66,CIBC Aeroplan Visa Infinite Privilege Card,,CIBC Aeroplan Visa Infinite Privilege Card.png,CIBC,Travel,$599,$599,$149,$149 each for up to 9 additional cards,20.99%,22.99%,Aeroplan Points,"Apply and earn up to $3,200 in value, which includes up to 100,000 Aeroplan points!","Earn up to 100,000 Aeroplan points (up to $2,000 in travel value

):
10,000 Aeroplan points when you spend $1,000 or more during your first 2 monthly statement periods

40,000 Aeroplan points when you spend $5,000 or more during your first 4 monthly statement periods

50,000 Aeroplan points as an additional anniversary bonus when you have at least $25,000 in net eligible purchases posted on your account during the first 12 monthly statement periods","$3,200",Must be a new applicant (existing cardholders may not qualify).,"1.5 points for
every $1 you spend on eligible gas, electric vehicle charging, groceries, travel and dining.
6
2 points for every $1 you spend with Air Canada directly, including through Air Canada Vacations

.
6
1.25 points for every $1 you spend on all other purchases.","1.5 points
for
every $1 you spend on eligible gas, electric vehicle charging, groceries, travel and dining.
6
Want to save on gas? Get up to 10 cents off per litre at participating gas stations with
Journie Rewards
.
2 points
for every $1 you spend with Air Canada directly, including through Air Canada Vacations

.
6
1.25 points
for every $1 you spend on all other purchases.","$150,000 individual, or $200,000 household minimum annual income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-infinite-privilege-card.html
67,CIBC Aventura Gold Visa Card,,CIBC Aventura Gold Visa Card.png,CIBC,Rewards,$139,$139 - first year rebated,$50,$50 each for up to 3 additional cards,20.99%,22.99%,Aventura Points,"Earn up to $1,800 in value","Get a total of up to 60,000 Aventura Points (up to $1,200 in travel value
1
) during your first year:
15,000 Aventura Points when you make your first purchase

30,000 Aventura Points when you spend $3,000 or more in net purchases in the first 4 monthly statement periods

15,000 Aventura Points if you have at least $5,000 in net purchases posted to your account in the first 4 monthly statement periods

Get a one-time annual fee rebate ($139) for you (the primary cardholder) and up to three authorized users ($50 each): up to $189 value

.
Elevate your airport experience with 4 complimentary visits at
1,200+
lounges globally through Visa Airport Companion Program: up to $277 value
2
.
Plus, get a NEXUS
TM
Application Fee rebate: a $160 value","$1,800","CIBC may approve your application, but you are not eligible to receive this Offer if you have opened, transferred or cancelled another Aventura card within the last 12 months.","2 points for every $1 spent on eligible travel purchased through the CIBC Rewards Centre
Opens in a new window.
6
(CIBC by Expedia
7
)
1.5 points for every $1 spent at eligible gas stations, electric vehicle charging stations, grocery stores and drug stores
8
1 point for every $1 spent on all other purchases","More travel flexibility to redeem points towards flights, car rentals, hotels, vacation packages and more, with points that don't expire. 2 points per $1 spent on travel purchased through the CIBC Rewards Centre. 1.5 points per $1 spent on gas, electric vehicle charging, grocery, and drugstore purchases (up to $80,000 annual spending). 1 point per $1 spent on all other purchases. 4 complimentary lounge visits per year through the Visa Airport Companion program. NEXUS application fee rebate of up to $100 every 4 years. Save up to 10 cents per litre on fuel at participating Pioneer, Fas Gas, Ultramar, and Chevron stations. Up to 25% off car rentals at Avis and Budget. Out-of-Province Emergency Travel Medical Insurance (15 days for ages 64 and under). Flight Delay and Baggage Insurance. Car Rental Collision and Loss Damage Insurance. $500,000 Common Carrier Accident Insurance. Mobile Device Insurance. Purchase Security and Extended Protection.","$15,000 minimum annual household income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-gold-visa-card.html
68,CIBC Aventura Visa Card,,CIBC Aventura Visa Card.png,CIBC,Rewards,$0,No Annual Fee,$0,$0 for up to 3 additional cards,20.99%,22.99%,Aventura Points,"Earn up to 12,500 Aventura Points","If you apply and are approved for a new CIBC Aventura Visa*, you can receive up to 12,500 Aventura Points:
a) Up to 2,500 bonus Aventura Points for completing the below activities within 60 days of your CIBC Aventura Visa* account approval.
b) An additional bonus of 10,000 Aventura Points if you have at least $1,000 in net purchases (posted to your account within the first 4 months of account opening) on the Credit Card Account.",up to $125,"CIBC may approve your application, but you are not eligible to receive this Offer if you have opened, transferred or cancelled another Aventura card within the last 12 months.","1 point for every $1 spent at eligible gas stations, electric vehicle charging stations, grocery stores and drug stores
1 point for every $1 spent on eligible travel purchased through the CIBC Rewards Centre
1 point for every $2 spent on all other purchases","Earn 1 Aventura Point on purchases (excluding returns) at merchants classified in the credit card network as grocery stores, service stations or automated gas dispensers, electric vehicle charging with a merchant category code of MCC 5552, or drug stores.
Bonus (double) Aventura Points are earned on each dollar charged to the card on CIBC Rewards Centre travel purchases other than taxes, insurance, service charges or similar items.
Aventura Points are earned on card purchases less returns, and not on cash advances, CIBC Global Money Transfers
TM, interest, fees, balance transfers, payments, regular CIBC Convenience Cheques or Aventura Points redemptions.","$15,000 minimum annual household income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-card.html
69,CIBC Aeroplan Visa Card,,CIBC Aeroplan Visa Card.png,CIBC,Travel,$0,No Annual Fee,$0,$0 for up to 3 additional cards,20.99%,22.99%,Aeroplan Points,"Earn up to $200 in value, which includes up to 10,000 Aeroplan points!","Earn up to 10,000 Aeroplan points (up to $200 in travel
value

):
2,500 Aeroplan points when you make your first
purchase

.
2,500 Aeroplan points when you spend $1,500 or more during the first 4 monthly statements
periods

.
5,000 Aeroplan points as an additional anniversary bonus when you have at least $10,000 in net purchases posted on your account during the first 12 monthly statement
periods",$200,"To be eligible for the CIBC Aeroplan Visa Card welcome bonus, applicants must be approved for a new account and meet minimum spend requirements, typically including a first purchase bonus and, at times, a larger bonus after spending a set amount in the first 4-12 months. Eligibility requires being a Canadian resident, meeting minimum income/credit standards, and generally not having received a bonus for the same card recently.","1 point for every
$1
you spend on eligible gas, electric vehicle charging, groceries and with Air Canada directly, including through Air Canada Vacations.
2
Want to save on gas? Get up to 10 cents off per litre at participating gas stations with
Journie Rewards
.
Gas
Electric Vehicle Charging
Groceries
Air Canada
1 point
for every $1.50 you spend on all other purchases.","1 point for every
$1
you spend on eligible gas, electric vehicle charging, groceries and with Air Canada directly, including through Air Canada Vacations.
Want to save on gas? Get up to 10 cents off per litre at participating gas stations with
Journie Rewards
.
1 point
for every $1.50 you spend on all other purchases.","$15,000 minimum annual household income",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aeroplan-visa-card.html
70,CIBC Aventura Visa Card for Students,,CIBC Aventura Visa Card for Students.png,CIBC,Student,$0,No Annual Fee,$0,$0 for up to 3 additional cards,20.99%,22.99%,Aventura Points,"Earn up to 12,500 Aventura Points","If you apply and are approved for a new CIBC Aventura Visa* for Students card, you can receive up to 12,500 Aventura Points:
a) Up to 2,500 bonus Aventura Points for completing the below activities within 60 days of your CIBC Aventura Visa* account approval.
b) An additional bonus of 10,000 Aventura Points if you have at least $1,000 in net purchases (posted to your account within the first 4 months of account opening) on the Credit Card Account.",up to $125 in travel value,"CIBC may approve your application, but you are not eligible to receive this Offer if you have opened, transferred or cancelled another Aventura card within the last 12 months.","1 point
for every $1 spent at eligible gas stations, electric vehicle charging stations, grocery stores and drug stores
1 point
for every $1 spent on eligible travel purchased through the
CIBC Rewards Centre
1 point
for every $2 spent using your card","1 point per $1 on travel booked through the CIBC Rewards Centre. 1 point per $1 spent on groceries, gas, electric vehicle charging, and drugstores. 1 point per $2 spent on all other purchases.","No minimum annual income requirement
Canadian students can get a credit limit of up to $5,000
International students can get a credit limit of up to $2,000",,https://www.cibc.com/en/personal-banking/credit-cards/all-credit-cards/aventura-visa-for-students.html
